id,behavior
64,MB_POND_WATER
65,MB_POND_WATER
66,MB_POND_WATER
67,MB_POND_WATER
68,MB_POND_WATER
69,MB_POND_WATER
70,MB_POND_WATER
71,MB_POND_WATER
72,MB_POND_WATER
73,MB_POND_WATER
74,MB_POND_WATER
75,MB_POND_WATER
76,MB_POND_WATER
77,MB_POND_WATER
78,MB_POND_WATER
79,MB_POND_WATER
80,MB_POND_WATER
81,MB_POND_WATER
82,MB_POND_WATER
83,MB_POND_WATER
84,MB_POND_WATER
85,MB_POND_WATER
86,MB_POND_WATER
87,MB_POND_WATER
88,MB_POND_WATER
89,MB_POND_WATER
96,MB_POND_WATER
97,MB_POND_WATER
