id,behavior
5,MB_CAVE
6,MB_CAVE
7,MB_CAVE
13,MB_CAVE
14,MB_CAVE
15,MB_CAVE
16,MB_LADDER
21,MB_CAVE
22,MB_CAVE
23,MB_CAVE
24,MB_LADDER
28,MB_JUMP_SOUTH
29,MB_JUMP_EAST
30,MB_CAVE
31,MB_CAVE
32,MB_ROCK_STAIRS
33,MB_ROCK_STAIRS
36,MB_JUMP_WEST
37,MB_JUMP_EAST
38,MB_CAVE
39,MB_CAVE
46,MB_JUMP_SOUTH
47,MB_JUMP_SOUTH
51,MB_SOUTH_ARROW_WARP
59,MB_WEST_ARROW_WARP
54,MB_JUMP_WEST
55,MB_JUMP_EAST
60,MB_SOUTH_ARROW_WARP
61,MB_ROCK_STAIRS
71,MB_NON_ANIMATED_DOOR
92,MB_ROCK_CLIMB
95,MB_ROCK_CLIMB
103,MB_ROCK_CLIMB
109,MB_SOUTH_ARROW_WARP
112,MB_CAVE
113,MB_CAVE
114,MB_CAVE
115,MB_CAVE
116,MB_CAVE
117,MB_CAVE
120,MB_CAVE
121,MB_CAVE
122,MB_CAVE
123,MB_CAVE
124,MB_CAVE
125,MB_CAVE
128,MB_CAVE
129,MB_CAVE
130,MB_CAVE
131,MB_CAVE
132,MB_CAVE
133,MB_CAVE
134,MB_CAVE
135,MB_CAVE
136,MB_CAVE
137,MB_CAVE
138,MB_CAVE
139,MB_CAVE
140,MB_CAVE
141,MB_CAVE
142,MB_CAVE
143,MB_CAVE
144,MB_CAVE
145,MB_CAVE
146,MB_CAVE
147,MB_CAVE
148,MB_CAVE
149,MB_CAVE
150,MB_CAVE
151,MB_CAVE
152,MB_CAVE
153,MB_CAVE
154,MB_CAVE
155,MB_CAVE
156,MB_CAVE
157,MB_CAVE
158,MB_CAVE
159,MB_CAVE
160,MB_CAVE
161,MB_CAVE
162,MB_CAVE
163,MB_CAVE
164,MB_CAVE
165,MB_CAVE
166,MB_CAVE
167,MB_CAVE
168,MB_JUMP_SOUTH
169,MB_JUMP_SOUTH
170,MB_JUMP_SOUTH
172,MB_LADDER
173,MB_CAVE
174,MB_CAVE
175,MB_CAVE
181,MB_LADDER
