id,behavior
68,MB_ANIMATED_DOOR
80,MB_NON_ANIMATED_DOOR
83,MB_EAST_ARROW_WARP
205,MB_NON_ANIMATED_DOOR
340,MB_JUMP_SOUTH
341,MB_JUMP_EAST
348,MB_JUMP_WEST
349,MB_JUMP_EAST
353,MB_JUMP_EAST
361,MB_JUMP_WEST
362,MB_JUMP_WEST
363,MB_JUMP_EAST
364,MB_JUMP_SOUTH
365,MB_JUMP_SOUTH
416,MB_TALL_GRASS
417,MB_TALL_GRASS
418,MB_TALL_GRASS
419,MB_TALL_GRASS
420,MB_TALL_GRASS
424,MB_TALL_GRASS
425,MB_TALL_GRASS
426,MB_TALL_GRASS
427,MB_TALL_GRASS
428,MB_TALL_GRASS
429,MB_TALL_GRASS
430,MB_TALL_GRASS
431,MB_TALL_GRASS
432,MB_TALL_GRASS
433,MB_TALL_GRASS
434,MB_TALL_GRASS
436,MB_TALL_GRASS
